,Francês,Português
0,partie,papel
1,histoire,história
2,chercher,procurar
3,seulement,só
4,police,polícia
5,pensais,pensei
6,aide,assistência
7,demande,solicitar
8,genre,Gênero sexual
9,mois,mês
10,frère,irmão
11,laisser,deixar 
12,car,Porque
13,mettre,colocar
14,aucun,Nenhum
15,laisse,coleira
16,eux,eles
17,ville,cidade
18,chaque,cada
19,arrivé,vir
20,devrait,devemos
21,bébé,bebê
22,longtemps,muito tempo
23,heures,horas
24,vont,estão indo
25,pendant,no decorrer
26,revoir,encontrar de novo
27,aucune,Nenhum
28,place,quadrado
29,parle,falar
30,compris,Entendido
31,savais,sabia
32,attention,Aviso
33,voici,aqui está
34,pourrais,poderia
35,affaire,caso
36,donner,dar
37,type,Gentil
38,leurs,deles
39,donné,dado
40,train,Comboio
41,corps,corpo
42,endroit,"Lugar, colocar"
43,yeux,olhos
44,façon,maneira
45,écoute,ouço
46,dont,de quem
47,trouve,achar
48,premier,primeiro
49,perdu,perdido
50,main,mão
51,première,primeiro
52,côté,lateral
53,pouvoir,potência
54,vieux,velho
55,sois,ser
56,tiens,levar
57,matin,manhã
58,tellement,tanto
59,enfant,filho
60,point,apontar
61,venu,veio
62,suite,Segue
63,pardon,desculpa
64,venez,vir
65,devant,antes de
66,vers,vermes
67,minutes,minutos
68,demandé,solicitar
69,chambre,sala
70,mis,colocar
71,belle,bonito
72,droit,direita
73,aimerais,gostaria de
74,aujourd'hui,hoje
75,mari,marido
76,cause,causa
77,enfin,finalmente
78,espère,esperança
79,eau,água
80,attendez,esperar
81,parti,deixei
82,nouvelle,Novo
83,boulot,show
84,arrêter,Pare
85,dirait,diria
86,terre,terra
87,compte,conta
88,donne,dado
89,loin,longe
90,fin,fim
91,croire,acreditam
92,chérie,caro
93,gros,ampla
94,plutôt,em vez de
95,aura,terá
96,filles,garotas
97,jouer,jogador
98,bureau,mesa
